,SPY,VTV,MTUM,QUAL,USMV,VUG,IJR,TLT,GLD
2017-08-31,0.14030413298922684,0.1366557985157764,0.1472028232661104,0.14770890081968863,0.15922572093490545,0.10165988607269515,0.06355633619579845,0.08561489144590825,0.018071509759890574
2017-11-30,0.14558999727635108,0.1381751707466313,0.14527105015546218,0.15399246451178403,0.1659506811484842,0.10157363299185741,0.05282991518419589,0.07578841550291023,0.020828672482323795
2018-02-28,0.1439624777126376,0.14033075465673936,0.13783558357785639,0.15137824964898322,0.16980516335693527,0.10178517831705028,0.058306420254428865,0.0718257626313832,0.02477040984398591
2018-05-31,0.13708184531135903,0.13249856955296396,0.1408407771008843,0.14308828672945065,0.17045825350239738,0.10310367239940156,0.07067138349202882,0.07499010720420382,0.027267104707310568
2018-08-31,0.1431488410309348,0.13061573948700225,0.14417849903173569,0.14520237112865073,0.17253118533238873,0.10980710281471662,0.07251628471824989,0.0691711015055661,0.012828874950755355
2018-11-30,0.13838459694708327,0.13380639815494957,0.12974701284674198,0.14213010232082832,0.18411073795767133,0.10064149654771569,0.06689629963618828,0.07675049255825048,0.027532863030570977
2019-02-28,0.12920916099767013,0.12601107967484662,0.12990779976146938,0.1287725604551086,0.18110776847334983,0.09674376902976103,0.0710795432611047,0.09710908739110155,0.040059230955587916
2019-05-31,0.1364246488032503,0.1283480235643849,0.13590265046802819,0.1357046560471172,0.1912292460870618,0.10476645591113412,0.0663957724854591,0.07500688107732352,0.026221665556240913
2019-08-31,0.12894614424992107,0.12045747537813883,0.14126119331368794,0.1288280705196208,0.1915921297033453,0.10322200814082562,0.06322742580295039,0.0861969997327474,0.03626855315876247
2019-11-30,0.13456625472384665,0.12102258411900793,0.1442976210991863,0.1337990825367734,0.19370169383910263,0.10719818469730596,0.062104408237966695,0.0701504920180408,0.03315967872876966
2020-02-29,0.1353474230010487,0.11509024654468565,0.14429982512208261,0.13051958825405674,0.20290546263765166,0.11212477082406125,0.06074030824837529,0.06349077369914442,0.035481601668893595
2020-05-31,0.12205712753782723,0.10743959411834524,0.12709694848908504,0.12089211300033542,0.20354690227241945,0.10066984661344675,0.057626388155489885,0.10251757531979526,0.05815350449325574
2020-08-31,0.1316866602549547,0.101793398864652,0.14001541568552545,0.12226360504327785,0.19031711326829454,0.11162863492069439,0.06416153629481043,0.07974937280362498,0.058384262864165634
2020-11-30,0.12738015461997487,0.11436004157546097,0.12957097390760208,0.12321005117964957,0.19308827808401002,0.10223540293207854,0.06885804263995017,0.08131849572531127,0.05997855933596262
2021-02-28,0.12998449463812067,0.1163173313923579,0.141912673955348,0.12150511557516236,0.18590625444002137,0.10935657273277775,0.07485439078896038,0.07203495260433247,0.04812821387291914
2021-05-31,0.1361611305110403,0.12433758952135644,0.129762122720873,0.12977162280371587,0.18783864774306633,0.10665597284546842,0.07275794199591616,0.0674464431868136,0.045268528671749846
2021-08-31,0.13887639896069934,0.12211328643699869,0.12937019883324075,0.13398000343891212,0.18696841905780517,0.10755639122641328,0.07361407050174791,0.07016154590719148,0.037359685636991324
2021-11-30,0.13972108795273405,0.12322646294468549,0.12655522943214567,0.1302548536551248,0.1861475686216214,0.10413823391403827,0.07784534903304419,0.06999018200075986,0.042121032445846335
2022-02-28,0.13994530176872935,0.12367448291947375,0.11960384532310386,0.13114986058030542,0.17365762273205756,0.1094595383950102,0.08186895221834357,0.07234204848296662,0.04829834758000968
