date,return,allocation,regime,prob_bull,cum_ret
2017-08-31,-0.00018102231027461446,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-0.00018102231027461446
2017-09-01,-0.00014496352021597936,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-0.00032595958885928145
2017-09-05,0.00036276001748003495,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,3.6682183514491484e-05
2017-09-06,-0.00036262847036983015,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-0.00032595958885939247
2017-09-07,0.00045330068521631794,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.00012719333865196525
2017-09-08,-9.049964418539336e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,3.668218351471353e-05
2017-09-11,0.00018101567022466014,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.000217704493789439
2017-09-12,-0.0002719008084016705,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-5.4255508640133066e-05
2017-09-13,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-5.4255508640133066e-05
2017-09-14,9.094262629338878e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,3.668218351471353e-05
2017-09-15,9.050783511233007e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.00012719333865196525
2017-09-18,-0.00027184011877379177,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-0.00014468135637413226
2017-09-19,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,-0.00014468135637413226
2017-09-20,0.00027191403591753094,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.00012719333865196525
2017-09-21,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.00012719333865196525
2017-09-22,9.049964418550438e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.000217704493789439
2017-09-25,-9.049145474093745e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0001271933386521873
2017-09-26,0.0002717548222193056,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0003989827262746992
2017-09-27,-9.090142405698831e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0003080450341197416
2017-09-28,9.090968787694997e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0003989827262746992
2017-09-29,0.0001814617545901065,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0005805168809702721
2017-10-02,3.6149353783487825e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0006166872200639162
2017-10-03,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0006166872200639162
2017-10-04,-9.062588212105371e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0005260054501194933
2017-10-05,-9.088988358074701e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0004350677579645357
2017-10-06,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0004350677579645357
2017-10-09,0.00018154047968987896,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0006166872200639162
2017-10-10,-0.00018150752872592157,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0004350677579647577
2017-10-11,0.0002719270031614762,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007071130677978044
2017-10-12,9.061769298956968e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377422273
2017-10-13,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377422273
2017-10-16,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377422273
2017-10-17,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377422273
2017-10-18,0.00018155992193436,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0009794996072449713
2017-10-19,9.05930341030814e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0010701813771893942
2017-10-20,-9.058482774859655e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0009794996072451934
2017-10-23,-9.101915373666003e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0008883913002832866
2017-10-24,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0008883913002832866
2017-10-25,-9.051604887044817e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377424493
2017-10-26,9.05242427673425e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0008883913002832866
2017-10-27,-9.051604887044817e-05,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0007977948377424493
2017-10-30,0.00018155992193436,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0009794996072451934
2017-10-31,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.0009794996072451934
2017-11-01,8.522392680454516e-08,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]",2.0,0.5,0.000979584914648779
2017-11-02,0.00035691941597656057,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0013368539635008059
2017-11-03,0.0032158425658077583,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.00455699564118861
2017-11-06,0.0013973671103780412,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.005960730547397652
2017-11-07,-0.0003595498613081504,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.005599037506247795
2017-11-08,0.0016419128587993694,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.007250143496725592
2017-11-09,-0.0037116700741564403,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.00351156328191915
2017-11-10,-0.00039782602146898327,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0031123402692005975
2017-11-13,0.0008968478472491566,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.004011979412120059
2017-11-14,-0.0023107309516997945,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0016919778554151943
2017-11-15,-0.005021113898043346,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,-0.003337631656153195
2017-11-16,0.008214638367343078,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.004849589274131372
2017-11-17,-0.002777468777149831,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.002058650914190663
2017-11-20,0.0015537569012271657,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0036156064584829117
2017-11-21,0.0065316213903373966,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.010170843621303716
2017-11-22,-0.0007493147290498955,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.00941390772932138
2017-11-24,0.002256356619474505,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.011691505481816078
2017-11-27,-0.0003941597204409526,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.011292737440842915
2017-11-28,0.00986271349707805,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.021266827971897717
2017-11-29,-0.0004244297436725534,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.020833371953880464
2017-11-30,0.008425512952326075,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.029434416751444648
2017-12-01,-0.001966374147714611,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.02741016352757697
2017-12-04,-0.0012462870693428216,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.026129715525861075
2017-12-05,-0.003456031235945252,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.022583379176872143
2017-12-06,9.491061874800089e-05,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.022680433198111194
2017-12-07,0.0031318809561099816,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.02588334657103064
2017-12-08,0.005421235838312406,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.03144490213538931
2017-12-11,0.0031141011718875955,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.03465692591386671
2017-12-12,0.0017000526312312598,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.03641589714318805
2017-12-13,-0.0002530216401661252,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0361536614929987
2017-12-14,-0.004037090506953629,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.03197061538243995
2017-12-15,0.008353669015501792,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04059135633706856
2017-12-18,0.006107989460254888,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.046947277374007834
2017-12-19,-0.003538744531885666,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04324239842102795
2017-12-20,-0.0006603215307454668,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.042553523003564075
2017-12-21,0.001877102868938903,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04451050321261629
2017-12-22,-0.0002384229503198017,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.0442614679368003
2017-12-26,-0.0012147222301123934,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.042992980317647644
2017-12-27,0.0005273182167089644,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04354296951606873
2017-12-28,0.002051757718251797,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04568406685810067
2017-12-29,-0.003495580131851213,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.04202879440979812
2018-01-02,0.006863715946952416,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.049180984063172284
2018-01-03,0.006105559427624252,"[np.float64(0.3333333333333333), np.float64(0.3333333333333333), np.float64(0.3333333333333333)]",2.0,0.5,0.055586820911703194
2018-01-04,0.007311073331348996,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.0633042935669943
2018-01-05,0.010539312829567288,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.0745107901499189
2018-01-08,0.0030958737617878527,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.07783733991190189
2018-01-09,0.0037504287489344454,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.08187969205818257
2018-01-10,-0.002631704985092018,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.07903250387932315
2018-01-11,0.011698326278281733,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.09165537817457481
2018-01-12,0.010968092494418625,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.10362875533442306
2018-01-16,-0.00573164026444387,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.0973031523233503
2018-01-17,0.015978031104163015,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.11483589622186896
2018-01-18,-0.0028834366420952954,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.11162133754877956
2018-01-19,0.007292094690493429,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.11972738560215834
2018-01-22,0.013334294551715021,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.13465816037939926
2018-01-23,0.0035247169160487063,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.13865750919122122
2018-01-24,-0.0005079410245048696,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.1380791383294424
2018-01-25,0.000412766956471058,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.1385488997915938
2018-01-26,0.019021266849496572,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.16020554223573047
2018-01-29,-0.011071286333901163,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.14736057447145967
2018-01-30,-0.0174238660528947,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.1273691175074967
2018-01-31,0.0014728088772949523,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.12902951675175012
2018-02-01,-0.002121311633811885,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.12663449330294752
2018-02-02,-0.0360585375227924,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.08600970115171092
2018-02-05,-0.06782650917755806,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.012349454189627407
2018-02-06,0.030582852478087265,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.043309988203380945
2018-02-07,-0.009487369415229086,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.03341172093069722
2018-02-08,-0.061505526719078156,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,-0.030148811282814325
2018-02-09,0.025133450308589114,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,-0.0057731046244647866
2018-02-12,0.022909979538906635,"[np.float64(0.6595163567554893), np.float64(0.34048364324451075), np.float64(5.551115123125783e-17)]",2.0,0.5,0.017004613205619412
