Date,GLD,IJR,MTUM,QUAL,SPY,TLT,USMV,VTV,VUG,SSO,HYG,LQD,SHV,QLD
2013-01-02,163.1699981689453,33.210811614990234,,,116.29174041748048,82.9281997680664,23.06155014038086,43.24185180664063,64.43782806396484,3.710408926010132,46.185462951660156,76.31735229492188,88.6682357788086,1.785584807395935
2013-01-03,161.1999969482422,33.19424819946289,,,116.02897644042967,81.80455017089844,23.092681884765625,43.19161605834961,64.25254821777344,3.6922354698181152,46.043357849121094,75.90201568603516,88.6682357788086,1.7690598964691162
2013-01-04,160.44000244140625,33.409297943115234,,,116.5385284423828,82.12361907958984,23.225000381469727,43.48583221435547,64.46430969238281,3.724479913711548,46.07273483276367,75.86419677734375,88.6682357788086,1.7562073469161987
2013-01-07,159.42999267578125,33.25216293334961,,,116.22010040283205,82.15828704833984,23.131601333618164,43.34947967529297,64.34078979492188,3.7068912982940674,46.11194610595703,75.9900894165039,88.66019439697266,1.759572982788086
2013-01-08,160.55999755859375,33.18185806274414,,,115.8856430053711,82.6993179321289,23.10825538635254,43.19879150390625,64.20842742919922,3.684614419937134,46.07765197753906,76.05934143066406,88.66019439697266,1.7546768188476562
2013-01-09,160.49000549316406,33.351417541503906,,,116.1802749633789,82.62301635742188,23.19387435913086,43.32796096801758,64.44660949707031,3.705133199691773,46.16584777832031,76.03414916992188,88.6682357788086,1.7626333236694336
2013-01-10,161.97999572753906,33.39689254760742,,,117.10377502441406,82.39408874511719,23.3261833190918,43.70827102661133,64.7995376586914,3.7596545219421382,46.24428176879883,76.07190704345703,88.6682357788086,1.7843602895736694
2013-01-11,161.05999755859375,33.36795425415039,,,117.09588623046876,83.12928771972656,23.333967208862305,43.672401428222656,64.87892150878906,3.762585639953613,46.327632904052734,76.21038055419922,88.6682357788086,1.7901740074157715
2013-01-14,161.5399932861328,33.34728240966797,,,117.01622009277344,82.90042877197266,23.349533081054688,43.715450286865234,64.71129608154297,3.7537922859191895,46.26387405395508,76.05934143066406,88.66019439697266,1.7733440399169922
2013-01-15,162.55999755859375,33.48787307739258,,,117.09588623046876,83.28192138671875,23.38066291809082,43.823089599609375,64.69367980957031,3.760241270065308,46.27369689941406,75.99636840820312,88.66019439697266,1.7565126419067383
