date,return,cum_ret
2018-04-30,0.0009339263444609891,0.0009339263444609891
2018-07-31,0.037228576032105706,0.038197271124489784
2018-10-31,-0.0386551976594457,-0.001934449600324517
2019-01-31,0.08332369435417464,0.08122805926660903
2019-04-30,0.037463546392069086,0.12173469682535054
2019-07-31,0.01649497911746242,0.14023768722481766
2019-10-31,0.018297467504470838,0.16110114925418695
2020-01-31,0.04734228601948795,0.2160703319597348
2020-04-30,0.1194222107342335,0.3612961394106795
2020-07-31,0.09260409595816914,0.4873577377321512
2020-10-31,0.00011774125564412152,0.4875328610997838
2021-01-31,0.011021165630471664,0.5039272071427341
2021-04-30,0.06245297757940703,0.5978519392914794
2021-07-31,0.029926147380940696,0.6456694919196382
2021-10-31,0.07747715908045852,0.7731712889389535
2022-01-31,-0.04316422121133071,0.6966337311776121
2022-04-30,-0.0002902726945737122,0.6961412447327584
2022-07-31,0.09219144363717997,0.8525109546972349
2022-10-31,0.10420532272373696,1.0455524565807184
2023-01-31,0.06806066698634966,1.1847741211311682
2023-04-30,0.014318955346190647,1.2160578042131585
2023-07-31,0.03723760524656831,1.298578489930025
2023-10-31,0.07372411557093382,1.4680391561704886
2024-01-31,0.013170897047100507,1.5005454458046228
2024-04-30,0.017139138676873163,1.5434026409680919
2024-07-31,0.08773464511143096,1.7665471690489034
2024-10-31,0.03510144781514736,1.8636569801314176
2025-01-31,0.05295101504301411,2.0152905239643886
2025-04-30,0.03877969336696342,2.1322225658960385
2025-07-31,0.022735031540513373,2.2034337447235925
2025-10-31,0.033442670443986286,2.3105651237375286
2026-01-31,0.10734125335184802,2.665925333422431
2026-04-30,0.11753705791119708,3.0968074116350284
