,return,allocation,cum_ret
2018-02-07,-0.005424917866445944,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.003035308006163806
2018-02-08,-0.0375087541108623,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",-0.03458729672635241
2018-02-09,0.015021441032819771,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",-0.020085406731792155
2018-02-12,0.01468437922385002,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",-0.005695969237257015
2018-02-13,0.002487408600588603,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",-0.0032227288395378917
2018-02-14,0.013496348109089062,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.010230124199271495
2018-02-15,0.012760246523615848,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0231209096296372
2018-02-16,0.00029271569686328824,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.023420393179674814
2018-02-20,-0.006261267208677812,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.01701248463116678
2018-02-21,-0.004974116326228684,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.011953746227384432
2018-02-22,0.0012961916322167255,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.013265432205434635
2018-02-23,0.015939425145135022,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.029416300714226074
2018-02-26,0.011611907022956336,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.041369787086035226
2018-02-27,-0.012486417635757086,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.028366809011219463
2018-02-28,-0.010130310380641716,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.017949134050785798
2018-03-01,-0.01454045002188975,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0031476955422944375
2018-03-02,0.005154964644575211,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.008318886446102125
2018-03-05,0.01155785434392409,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.019972889267873883
2018-03-06,0.0025352514921073172,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.02255877705729925
2018-03-07,-0.0003665087144767423,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.022184000354443123
2018-03-08,0.0048390659899095745,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.027130416185987993
2018-03-09,0.01740223084376114,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.04500477679510495
2018-03-12,-0.0012548231585213226,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.043693480600417
2018-03-13,-0.006462818068777018,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.03694827951572788
2018-03-14,-0.005131714442569768,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.03162695705353924
2018-03-15,-0.0010895462564398661,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.030502951764439068
2018-03-16,0.0010844305664674556,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.03162046066416746
2018-03-19,-0.013530370616196883,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.017662253496129487
