,SPY,VTV,MTUM,QUAL,USMV,VUG,IJR,TLT,GLD,LEVERAGE
2017-08-31,0.10912491456146022,0.04930870216216987,0.28095565774308995,0.09036253590151731,0.16908188417060624,0.1520639438612679,7.589415207398531e-19,0.08199333529887014,0.00011111972670667746,0.06699790657431172
2017-11-30,0.1382637904921891,0.16921839848740364,0.1692771522672826,0.12884448700966364,0.11828383481120243,0.1086490369230324,0.10852617725442322,0.0,6.071532165918825e-18,0.05893712275480294
2018-02-28,0.12786173655293775,0.07192769948528356,0.27067327051231466,0.11198140029550359,0.1606326109332269,0.15779196939708653,0.027714558316231812,0.0,0.0,0.07141675450741518
2018-05-31,0.12226628467679969,0.07052035012239019,0.21858192402572216,0.12289081781628249,0.13038125424653585,0.13466798493315074,0.14908342346528022,2.4936649967166602e-18,3.903127820947816e-18,0.051607960713838705
2018-08-31,0.09901900516255291,0.0,0.2666589695044947,0.09859341839857713,0.15387298388680354,0.16664330703090477,0.07064750431410662,0.07254456050986575,8.131516293641283e-18,0.07202025119269467
2018-11-30,0.12644108441697788,0.17317713172127489,0.10854937032106941,0.1190521909163354,0.15985325806807923,0.06889396785790472,0.1166657497553794,0.07170183527437284,1.3769367590565906e-17,0.05566541166860609
2019-02-28,0.045580616379352956,0.5113759765290137,0.12347561218158135,0.014548604749988075,0.09773179504779514,0.056322235655952624,0.09409628227975861,2.3310346708438345e-18,1.2739375526704677e-18,0.0568688771765576
2019-05-31,0.0,0.0,0.20826001331217783,0.0,0.23149949186629665,0.028247931522434513,2.019326546254252e-17,0.4603564518416085,0.0,0.07163611145748247
2019-08-31,0.0,3.0899761915836876e-17,0.23163585005429504,0.01896092949460437,0.2018759146654738,0.10407263639560772,8.348356728138384e-18,0.3694585263395616,2.2985086056692694e-17,0.07399614305045743
2019-11-30,0.15170089707981915,0.13144447461567335,0.15943764279861933,0.14517782921342332,0.14548252028011335,0.14190435477142777,0.0696580486018078,1.6696713456276768e-17,1.951563910473908e-17,0.05519423263911592
2020-02-29,0.04899093441206799,0.0,0.23702134778703432,0.07500467320947289,0.16704608184021952,0.16096760525254028,8.456776945386935e-18,0.26020431977155684,0.0,0.05076503772710833
2020-05-31,0.028606792544001364,1.7550522667109103e-17,0.1618276153724823,0.29953280940182786,0.10197492045443876,0.1174887062346242,1.0408340855860843e-17,0.0,0.25254726198028365,0.03802189401234191
2020-08-31,0.06446468722194118,0.0,0.3748596892996269,0.0,0.016133702274887255,0.29936011506216076,0.0,0.0,0.21231442433918746,0.03286738180219652
2020-11-30,0.11893456827323688,0.24582553818205968,1.0272815584300155e-17,0.11670172093760081,1.9027748127120603e-17,1.1600963245594897e-17,0.45904615002174026,0.0,0.0,0.059492022585362354
2021-02-28,1.4148838350935833e-17,0.560519152247219,0.0,0.0,1.0191500421363742e-17,0.0,0.4114389690316814,7.697835424647081e-17,7.892991815694472e-17,0.02804187872109959
2021-05-31,0.09285795147445924,0.2554015726148341,1.5693826446727677e-17,0.06888757076251321,1.1499319291924381e-17,0.23386547180433614,0.2232486633312407,8.233160247311799e-17,0.07868284058608742,0.047055929426529176
2021-08-31,0.8566546719680527,0.0,0.04025820805037096,0.0,0.0,0.05710408991821129,0.0,0.0,0.0,0.045983030063365175
2021-11-30,0.1512408446012556,0.019791343988124644,0.18057259822084937,0.14749606450822114,0.14094194721404416,0.19650239796047525,0.01971478604728868,0.07886290809906309,0.0,0.06487710936067817
2022-02-28,0.17887878113552175,0.19705296562303043,0.0,0.10035728493698179,0.0,0.0,0.3107794437391195,3.1008182133085427e-17,0.1522356294959141,0.06069589506943253
2022-05-31,0.11994067722395478,0.27659481397075697,0.0,0.09951202558781655,0.11760773816992251,8.944667923005412e-18,0.32720509173300316,0.0,3.943785402416022e-18,0.0591396533145461
2022-08-31,0.1067774515291839,0.13920469359914173,0.12873598470121572,0.09418528162303576,0.13438654590366358,0.0800763214513935,0.10899196203892994,2.168404344971009e-18,0.15507200205620306,0.052569757097232786
2022-11-30,0.1473833068657268,0.19691300460913244,0.06468869903875053,0.12384479718888852,0.15578246149690453,0.09104035782892049,0.1196774938247915,0.0,0.04593868443319626,0.05473119471368896
2023-02-28,0.15756490483724778,0.11922699495278867,0.11249151483746744,0.13091326054565877,0.09847067656904201,0.15536565061533475,0.1722191123264522,1.929879867024198e-17,0.0,0.05374788531600841
2023-05-31,0.20941456947919973,0.0,0.1626903979256496,0.16638030331292775,0.018970601148075597,0.37180928557966786,0.0,0.0,7.589415207398531e-19,0.07073484255447952
2023-08-31,0.08700431880904151,0.00035086743423943904,0.19404812278048755,0.07910278018582084,0.1433550533513529,0.15142940616738426,0.0,0.05155682827481181,0.2247707939013185,0.06838182909554331
