date,position,return,portfolio_value,bull_prob,regime_score,is_rebalance
2014-10-13,EQUAL,-0.021340475319295355,0.9786595246807046,0.20540540540540542,0.20540540540540542,False
2014-10-14,EQUAL,0.0013237705104532926,0.9799550452992513,0.7014308426073131,0.7014308426073131,False
2014-10-15,EQUAL,-0.009301070164581482,0.9708404146647873,0.21685214626391097,0.21685214626391097,False
2014-10-16,EQUAL,-0.00494911703637461,0.9660356118289689,0.22957074721780604,0.22957074721780604,False
2014-10-17,EQUAL,0.017040511030479138,0.9824973523281761,0.753577106518283,0.753577106518283,False
2014-10-20,EQUAL,0.016388861327867026,0.9985993651904792,0.7227344992050875,0.7227344992050875,False
2014-10-21,EQUAL,0.030609150374987015,1.029165643323961,0.8597774244833069,0.8597774244833069,False
2014-10-22,EQUAL,-0.00817074634567605,1.0207565919046766,0.39841017488076313,0.39841017488076313,False
2014-10-23,EQUAL,0.017760520726929945,1.03888576051235,0.8254372019077901,0.8254372019077901,False
2014-10-24,EQUAL,0.009927845171528116,1.049199657493622,0.8012718600953895,0.8012718600953895,False
2014-10-27,EQUAL,-0.0020631232236708597,1.0470350293139794,0.4066772655007949,0.4066772655007949,False
2014-10-28,EQUAL,0.019749314293119324,1.0677132531838065,0.8505564387917329,0.8505564387917329,False
2014-10-29,EQUAL,-0.003409977564604927,1.0640723749450183,0.34213036565977745,0.34213036565977745,False
2014-10-30,EQUAL,0.005832067677581783,1.0702781170495428,0.8788553259141495,0.8788553259141495,False
2014-10-31,EQUAL,0.016516493304050472,1.0879553584032633,0.8769475357710652,0.8769475357710652,False
2014-11-03,EQUAL,0.0022463620252848684,1.0903993000055856,0.3939586645468998,0.3939586645468998,False
2014-11-04,EQUAL,-0.0041750687346945314,1.0858468079797994,0.43084260731319557,0.43084260731319557,False
2014-11-05,EQUAL,0.003998840771047507,1.0901889364666608,0.8120826709062003,0.8120826709062003,False
2014-11-06,EQUAL,0.004894037850801595,1.0955243623862538,0.7621621621621621,0.7621621621621621,False
2014-11-07,EQUAL,-0.000247465526825789,1.0952532578727654,0.7895071542130365,0.7895071542130365,False
2014-11-10,EQUAL,0.004580572028617613,1.1002701443100298,0.7650238473767885,0.7650238473767885,False
2014-11-11,EQUAL,0.0025398504143362053,1.1030646658919372,0.7434022257551669,0.7434022257551669,False
2014-11-12,EQUAL,0.0006624446646582571,1.1037953851946303,0.3068362480127186,0.3068362480127186,False
2014-11-13,EQUAL,0.0032824166360837146,1.1074185015298255,0.8406995230524642,0.8406995230524642,False
2014-11-14,EQUAL,0.0022839196037326057,1.1099477563550055,0.47599364069952305,0.47599364069952305,False
2014-11-17,EQUAL,-0.0016307349536213527,1.108137725752024,0.448966613672496,0.448966613672496,False
2014-11-18,EQUAL,0.008997384897672914,1.1181080673902468,0.904610492845787,0.904610492845787,False
2014-11-19,EQUAL,-0.004253062258542495,1.1133526841678574,0.4111287758346582,0.4111287758346582,False
2014-11-20,EQUAL,0.004292884752252683,1.1181321789296013,0.8810810810810811,0.8810810810810811,False
2014-11-21,EQUAL,0.004579406418425765,1.1232525606064399,0.8740858505564388,0.8740858505564388,False
2014-11-24,EQUAL,0.0073982638156286544,1.1315626793813867,0.9249602543720191,0.9249602543720191,False
2014-11-25,EQUAL,0.0006642668995055315,1.1323143390140156,0.5246422893481717,0.5246422893481717,False
2014-11-26,EQUAL,0.005888952482345333,1.1389824843515475,0.9179650238473768,0.9179650238473768,False
2014-11-28,EQUAL,0.0015578816826341175,1.1407568843007598,0.6038155802861686,0.6038155802861686,False
2014-12-01,EQUAL,-0.012254489483883782,1.1267774910584283,0.6019077901430843,0.6019077901430843,False
2014-12-02,EQUAL,0.006669266335766699,1.134292270247444,0.9271860095389507,0.9271860095389507,False
2014-12-03,EQUAL,0.004098813862904264,1.1389415231293196,0.9252782193958664,0.9252782193958664,False
2014-12-04,EQUAL,-0.0014357386923890363,1.1373063007161943,0.5160572337042926,0.5160572337042926,False
2014-12-05,EQUAL,0.0014710503422919647,1.1389793355391535,0.9058823529411765,0.9058823529411765,False
2014-12-08,EQUAL,-0.009530515230330513,1.1281242756347658,0.5211446740858505,0.5211446740858505,False
2014-12-09,EQUAL,0.0018588269576256626,1.1302212634498676,0.5319554848966613,0.5319554848966613,False
2014-12-10,EQUAL,-0.02121905447882781,1.1062390368875954,0.540858505564388,0.540858505564388,False
