date,return,cum_ret
2014-10-31,0.0879553584032633,0.0879553584032633
2014-11-30,0.048532805587713224,0.14075688430075983
2014-12-31,-0.018206256135458565,0.11998797227689262
2015-01-31,-0.03417503177220593,0.08171234773984137
2015-02-28,0.08574806931631795,0.17446709311415431
2015-03-31,-0.0273947794209366,0.14229282616114336
2015-04-30,0.018503493424479878,0.16342923395884656
2015-05-31,-0.006840652284651028,0.15547061911153626
2015-06-30,9.06528406463547e-05,0.15557536580544218
2015-07-31,-0.00018120324631598628,0.15536597179779554
2015-08-31,9.057503535236933e-05,0.15547061911153603
2015-09-30,0.00028064536909733206,0.15579489658991763
2015-10-31,-0.00028091056639900636,0.15547022159087542
2015-11-30,-0.005499482373169662,0.1491157334745139
2015-12-31,-0.03793087292410047,0.1055287706130077
2016-01-31,-0.09521661641584789,0.000264061724865039
2016-02-29,0.00035400923192074885,0.0006181644370741868
2016-03-31,0.0003625634776118769,0.0009809520385342108
2016-04-30,0.0005435192523677301,0.0015250044572205912
2016-05-31,-7.237835178020013e-05,0.0014525157281313206
2016-06-30,0.0010055566212270328,0.0024595329361662976
2016-07-31,1.8613832204694702e-05,0.0024781925497043833
2016-08-31,4.2888216023051484e-07,0.0024786224947170865
2016-09-30,0.0006612502304170764,0.003141511714829903
2016-10-31,0.0003891674970051273,0.003531901786085978
2016-11-30,-0.0006703244462860081,0.0028592098196909
2016-12-31,0.0007887576103016158,0.003650222653497348
2017-01-31,0.0005438729304476642,0.00419608084123646
2017-02-28,-0.005808739094794513,-0.0016370321923854236
2017-03-31,0.0155632319437915,0.013900722239696517
2017-04-30,-2.7300034308841425e-05,0.013873042715193629
2017-05-31,-0.0007699954644151408,0.01309236507081013
2017-06-30,0.01039497362568409,0.023623433486103185
2017-07-31,0.03946333169664107,0.06401902457421982
2017-08-31,0.003119010576953851,0.067337711165947
2017-09-30,0.03818528447131175,0.1080943052937775
2017-10-31,0.045276100808768094,0.15826449476588045
2017-11-30,0.058741934628423476,0.22630319199984172
2017-12-31,0.023634519361863005,0.25528627853467634
2018-01-31,0.10997897844692406,0.3933413811063611
2018-02-28,9.094767219486322e-05,0.3934681022615454
2018-03-31,0.0016699703733025206,0.3957951527084642
2018-04-30,0.0009339263444612111,0.39709872257305
2018-05-31,0.001569163259014239,0.3992909985577273
2018-06-30,0.0015237941764048024,0.4014232300324252
2018-07-31,0.0012782627390213186,0.40321461712897455
2018-08-31,0.004051804198962783,0.4089001680067037
2018-09-30,0.0013870200435062152,0.4108543407790284
2018-10-31,0.0017414907241370958,0.4133113305266036
2018-11-30,0.017189453233707352,0.43760537954735934
2018-12-31,0.03521398354290595,0.4882291917239332
2019-01-31,0.002447906788287213,0.49187223806488145
2019-02-28,-0.0030365712730824335,0.48734206168366434
2019-03-31,0.03444577586716413,0.5385747129782257
2019-04-30,0.07716433713206827,0.6572978108333527
2019-05-31,-0.10354723570039726,0.4856892037892391
2019-06-30,0.0023643102316746045,0.4892018339748465
2019-07-31,0.0016209943711982255,0.4916158217652977
2019-08-31,0.002264053867645721,0.49499292033560693
2019-09-30,0.0014306041015799131,0.49713166333927195
2019-10-31,0.0026625934211956803,0.5011179162567427
2019-11-30,0.0006871488982107543,0.502149407778983
2019-12-31,0.0017123942382659685,0.5047216797698784
2020-01-31,0.0015387245962499296,0.5070370320290507
2020-02-29,0.0021821281752010258,0.5103255799977127
2020-03-31,0.004160215654687827,0.5166088601192946
2020-04-30,0.0002166815256776644,0.5169374812409615
2020-05-31,-0.0002617938154401145,0.5165403563899633
2020-06-30,0.00018928051104039056,0.5168274079236341
2020-07-31,0.0,0.5168274079236341
2020-08-31,-3.5594866847121764e-05,0.516773416654019
2020-09-30,-5.465101193580235e-05,0.5166905234519215
2020-10-31,0.00011774125564412152,0.5168691004985762
2020-11-30,0.002555571871441842,0.5207455685044695
2020-12-31,0.025595726118762485,0.5596701555722317
2021-01-31,-9.064763682531396e-05,0.5595287751584022
2021-02-28,0.0,0.5595287751584022
