date,bull_prob,new_position
2015-12-01,0.9532591414944356,SSO
2017-06-01,0.8858505564387917,SSO
2019-03-01,0.7545310015898251,SSO
2020-12-01,0.7910969793322734,SSO
2021-09-02,0.8464228934817171,SSO
2021-12-02,0.8537360890302067,SSO
